Date : 2025-04-29 21:45:38
Directory : d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT
Total : 1270 files,  439356 codes, 44993 comments, 41954 blanks, all 526303 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\renesas\lv_gpu_d2_ra6m3.h                                                                                         | C++              |         25 |         16 |         16 |         57 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\README.md                                                                                                     | Markdown         |         18 |          0 |         10 |         28 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl.c                                                                                                 | C                |         53 |         28 |         22 |        103 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl.h                                                                                                 | C++              |         33 |         38 |         25 |         96 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl.mk                                                                                                | Makefile         |         17 |          0 |          3 |         20 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_arc.c                                                                                             | C                |        177 |         30 |         38 |        245 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_bg.c                                                                                              | C                |         53 |         30 |         24 |        107 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_composite.c                                                                                       | C                |        213 |         36 |         31 |        280 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_composite.h                                                                                       | C++              |         27 |         41 |         17 |         85 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_img.c                                                                                             | C                |        400 |         41 |         57 |        498 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_img.h                                                                                             | C++              |         23 |         44 |         19 |         86 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_label.c                                                                                           | C                |        121 |         35 |         33 |        189 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_layer.c                                                                                           | C                |         86 |         31 |         31 |        148 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_layer.h                                                                                           | C++              |         25 |         19 |         13 |         57 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_line.c                                                                                            | C                |        102 |         29 |         27 |        158 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_mask.c                                                                                            | C                |         43 |         28 |         14 |         85 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_mask.h                                                                                            | C++              |         17 |         19 |         15 |         51 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_polygon.c                                                                                         | C                |         87 |         28 |         25 |        140 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_priv.h                                                                                            | C++              |         23 |         31 |         19 |         73 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_rect.c                                                                                            | C                |        816 |         59 |        137 |      1,012 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_rect.h                                                                                            | C++              |         25 |         55 |         24 |        104 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_stack_blur.c                                                                                      | C                |        167 |         33 |         48 |        248 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_stack_blur.h                                                                                      | C++              |         14 |         19 |         14 |         47 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_texture_cache.c                                                                                   | C                |        125 |         26 |         26 |        177 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_texture_cache.h                                                                                   | C++              |         57 |         28 |         25 |        110 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_utils.c                                                                                           | C                |        133 |         29 |         22 |        184 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sdl\lv_draw_sdl_utils.h                                                                                           | C++              |         26 |         19 |         21 |         66 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\stm32_dma2d\lv_draw_stm32_dma2d.mk                                                                                | Makefile         |          4 |          0 |          3 |          7 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\stm32_dma2d\lv_gpu_stm32_dma2d.c                                                                                  | C                |        531 |        142 |        101 |        774 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\stm32_dma2d\lv_gpu_stm32_dma2d.h                                                                                  | C++              |         46 |         20 |         16 |         82 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw.c                                                                                                   | C                |         55 |         33 |         21 |        109 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw.h                                                                                                   | C++              |         54 |         23 |         30 |        107 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw.mk                                                                                                  | Makefile         |         15 |          0 |          3 |         18 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_arc.c                                                                                               | C                |        416 |         44 |         78 |        538 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_blend.c                                                                                             | C                |        876 |         63 |        114 |      1,053 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_blend.h                                                                                             | C++              |         27 |         30 |         14 |         71 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_dither.c                                                                                            | C                |        126 |         65 |         21 |        212 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_dither.h                                                                                            | C++              |         38 |         17 |         14 |         69 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_gradient.c                                                                                          | C                |        271 |         36 |         38 |        345 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_gradient.h                                                                                          | C++              |         42 |         40 |         14 |         96 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_img.c                                                                                               | C                |        219 |         40 |         40 |        299 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_layer.c                                                                                             | C                |         92 |         33 |         24 |        149 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_letter.c                                                                                            | C                |        429 |         62 |         81 |        572 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_line.c                                                                                              | C                |        319 |         50 |         73 |        442 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_polygon.c                                                                                           | C                |        125 |         47 |         36 |        208 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_rect.c                                                                                              | C                |      1,088 |        124 |        213 |      1,425 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\sw\lv_draw_sw_transform.c                                                                                         | C                |        396 |         41 |         57 |        494 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\swm341_dma2d\lv_draw_swm341_dma2d.mk                                                                              | Makefile         |          4 |          0 |          3 |          7 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\swm341_dma2d\lv_gpu_swm341_dma2d.c                                                                                | C                |        152 |         41 |         49 |        242 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\draw\swm341_dma2d\lv_gpu_swm341_dma2d.h                                                                                | C++              |         24 |         22 |         19 |         65 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\anim\index.rst                                                                                                | reStructuredText |          9 |          3 |          6 |         18 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\anim\lv_example_anim.h                                                                                        | C++              |         13 |         19 |         10 |         42 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\anim\lv_example_anim_1.c                                                                                      | C                |         42 |          3 |          8 |         53 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\anim\lv_example_anim_1.py                                                                                     | Python           |         29 |          3 |         10 |         42 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\anim\lv_example_anim_2.c                                                                                      | C                |         33 |          3 |          9 |         45 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\anim\lv_example_anim_2.py                                                                                     | Python           |         32 |          3 |          7 |         42 |
