Date : 2025-04-29 21:45:38
Directory : d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT
Total : 1270 files,  439356 codes, 44993 comments, 41954 blanks, all 526303 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\led\lv_example_led_1.c                                                                                | C                |         16 |          6 |          5 |         27 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\led\lv_example_led_1.py                                                                               | Python           |         10 |          6 |          5 |         21 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\line\index.rst                                                                                        | reStructuredText |          3 |          1 |          4 |          8 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\line\lv_example_line_1.c                                                                              | C                |         17 |          3 |          5 |         25 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\line\lv_example_line_1.py                                                                             | Python           |         14 |          3 |          4 |         21 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\list\index.rst                                                                                        | reStructuredText |          6 |          2 |          6 |         14 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\list\lv_example_list_1.c                                                                              | C                |         44 |          2 |          8 |         54 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\list\lv_example_list_1.py                                                                             | Python           |         33 |          2 |          6 |         41 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\list\lv_example_list_2.c                                                                              | C                |        136 |          5 |         28 |        169 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\list\lv_example_list_2.py                                                                             | Python           |        116 |          3 |         19 |        138 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\list\test.py                                                                                          | Python           |         35 |          3 |          6 |         44 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\lv_example_widgets.h                                                                                  | C++              |         88 |         19 |         42 |        149 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\index.rst                                                                                        | reStructuredText |         15 |          5 |         12 |         32 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_1.c                                                                              | C                |         27 |          3 |         11 |         41 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_1.py                                                                             | Python           |         19 |          3 |          6 |         28 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_2.c                                                                              | C                |         38 |          2 |         13 |         53 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_2.py                                                                             | Python           |         26 |          3 |          7 |         36 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_3.c                                                                              | C                |         40 |          4 |         16 |         60 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_3.py                                                                             | Python           |         29 |          3 |         11 |         43 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_4.c                                                                              | C                |         48 |          4 |         19 |         71 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_4.py                                                                             | Python           |         33 |          3 |         11 |         47 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\menu\lv_example_menu_5.c                                                                              | C                |        163 |          2 |         35 |        200 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\meter\index.rst                                                                                       | reStructuredText |         12 |          4 |         13 |         29 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\meter\lv_example_meter_1.c                                                                            | C                |         44 |         10 |         13 |         67 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\meter\lv_example_meter_1.py                                                                           | Python           |         36 |         11 |         12 |         59 |
| d:\Users\hui\Desktop\ESP32\hui\smart_cabinet\pio\LVGL_TRANSPLANT\lib\lvgl\src\examples\widgets\meter\lv_example_meter_2.c                                                                            | C                |         41 |          7 |         12 |         60 |
